month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,00L,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,3,741.36
2010-08-01,00L,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,401.85
2010-08-01,00L,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,15,50.089999999999996
2010-08-01,00L,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,23.46
2010-08-01,00L,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,44.24
2010-08-01,00L,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,44.2
2010-08-01,00L,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,258.05
2010-08-01,00L,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,30,27.319999999999997
2010-09-01,00L,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,2,18.07
2010-09-01,00L,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,729.37
2010-09-01,00L,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,25,40.08
2010-09-01,00L,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,1,230.82
2010-09-01,00L,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,6,36.75
2010-09-01,00L,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,66.32000000000001
2010-09-01,00L,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,1419.26
2010-09-01,00L,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,7.15
2010-09-01,00L,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,25,22.75
2010-10-01,00L,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,67.73
2010-10-01,00L,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,868.33
2010-10-01,00L,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,27,43.71999999999999
2010-10-01,00L,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,1,230.77
2010-10-01,00L,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,12,81.9
2010-10-01,00L,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,95.77
2010-10-01,00L,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,147.26
2010-10-01,00L,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,1289.98
2010-10-01,00L,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,34,40.059999999999995
2010-10-01,00L,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,1,168.67
2010-11-01,00L,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,1,988.69
2010-11-01,00L,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,942.9200000000001
2010-11-01,00L,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,20,19.12
2010-11-01,00L,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,2,461.78
2010-11-01,00L,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,21.6
2010-11-01,00L,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,29.49
2010-11-01,00L,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,88.42999999999999
