month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,540.9
2010-08-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,0.91
2010-08-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.92
2010-08-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,88.37
2010-08-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,3,2.73
2010-09-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,627.48
2010-09-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,4,20.95
2010-09-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-09-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,31,31.88
2010-10-01,00M,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,1,25.17
2010-10-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.42
2010-10-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,21.17
2010-10-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,58.91
2010-10-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,42.73
2010-10-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,13,15.47
2010-11-01,00M,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,1,2.24
2010-11-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,262.83000000000004
2010-11-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,14.11
2010-11-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,36.92
2010-11-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,117.91
2010-11-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,42.75
2010-11-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,16,14.59
2010-12-01,00M,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,1,65.98
2010-12-01,00M,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,268.56
2010-12-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,2,12.04
2010-12-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,442.35
2010-12-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,5,35.17
2010-12-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,29.57
2010-12-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,11,418.81
2010-12-01,00M,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,903.88
2010-12-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,9,25.52
2011-01-01,00M,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,12.22
2011-01-01,00M,Cefuroxime Sod_Inj 250mg Vl,0501021J0AAAAAA,1,4.36
2011-01-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,1,19.99
2011-01-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,6,649.3199999999998
2011-01-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.62
2011-01-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,10,178.54000000000005
2011-01-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,176.83
2011-01-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,96.6
2011-02-01,00M,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,1,7.61
2011-02-01,00M,Cefuroxime Sod_Inj 250mg Vl,0501021J0AAAAAA,1,5.23
2011-02-01,00M,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,8.99
2011-02-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,7,41.93
2011-02-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,303.4
2011-02-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,18.25
2011-02-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,22.19
2011-02-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,7,354.11
2011-02-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,3,35.75
2011-02-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,9,8.200000000000001
2011-03-01,00M,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,44.18
2011-03-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,622.24
2011-03-01,00M,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,110.62
2011-03-01,00M,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,1,17.82
2011-03-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,18.25
2011-03-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,31.25
2011-03-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,44.36
2011-03-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,6,354.07
2011-03-01,00M,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.24
2011-03-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,2,42.84
2011-03-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,79.36999999999998
2011-04-01,00M,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2011-04-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,8,47.87
2011-04-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,6,504.06
2011-04-01,00M,Fondaparinux Sod_Inj 12.5mg/ml 0.6ml Pfs,0208010ABAAACAC,1,321.84
2011-04-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,8,43.06
2011-04-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,5,140.08
2011-04-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,206.3
2011-04-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,9.11
2011-05-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,4,19.98
2011-05-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,133.18
2011-05-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,4,38.34
2011-05-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,5,34.77
2011-05-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,103.38
2011-05-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,44.28
2011-05-01,00M,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,6,1163.44
2011-05-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,21,19.16
2011-06-01,00M,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,1,4.45
2011-06-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,3,12.0
2011-06-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,6,433.34
2011-06-01,00M,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,76.1
2011-06-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,3,2.74
2011-06-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,21.41
2011-06-01,00M,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.4
2011-06-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,44.26
2011-06-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,2,18.6
2011-06-01,00M,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,8,10.93
2011-07-01,00M,Clopixol Acuphase_Inj 50mg/ml 1ml Amp,040201010BBAAAA,4,15.99
2011-07-01,00M,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,232.09
2011-07-01,00M,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,24.92
2011-07-01,00M,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,5,44.93
2011-07-01,00M,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,147.49
2011-07-01,00M,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,4.31
