month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,01Y,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,90.39
2010-08-01,01Y,Bupivac HCl_Inj 0.5% 50mg/10ml Amp,1502010C0AAADAD,5,10.21
2010-08-01,01Y,Etanercept_Inj 25mg Vl + Dil,1001030D0AAAAAA,1,658.0
2010-08-01,01Y,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,1,32.31
2010-08-01,01Y,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,8,7.2799999999999985
2010-08-01,01Y,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,1,2.26
2010-08-01,01Y,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,25.9
2010-08-01,01Y,Nutricia_preOp Liq,090402000BBQFA0,1,79.39
2010-08-01,01Y,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,16,14.63
2010-09-01,01Y,Bupivac HCl_Inj 0.5% 50mg/10ml Amp,1502010C0AAADAD,1,2.26
2010-09-01,01Y,Etanercept_Inj 25mg Vl + Dil,1001030D0AAAAAA,1,658.0
2010-09-01,01Y,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,1,24.24
2010-09-01,01Y,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,10,9.13
2010-09-01,01Y,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,1,2.26
2010-09-01,01Y,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-09-01,01Y,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,8,7.2799999999999985
2010-10-01,01Y,Bupivac HCl_Inj 0.5% 50mg/10ml Amp,1502010C0AAADAD,9,20.33
2010-10-01,01Y,Ceftazidime Pentahyd_Inj 3g Vl,0501021H0AAAHAH,1,995.4
2010-10-01,01Y,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,370.76
2010-10-01,01Y,Etanercept_Inj 25mg Vl + Dil,1001030D0AAAAAA,1,657.87
2010-10-01,01Y,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,1,32.31
2010-10-01,01Y,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,9,9.16
2010-10-01,01Y,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,1,2.26
