month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,03V,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.56
2010-08-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,13,29.15
2010-08-01,03V,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-08-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
2010-08-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,6,5.47
2010-09-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,17,32.79
2010-09-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,53.13
2010-09-01,03V,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,129.08
2010-09-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,5,21.86
2010-10-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,9,8.23
2010-10-01,03V,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,1,22.64
2010-10-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,12,31.880000000000006
2010-11-01,03V,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.76
2010-11-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,16,31.9
2010-11-01,03V,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,1,22.65
2010-11-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,9,11.85
2010-12-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,15,13.67
2010-12-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,6,22.79
2011-01-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,7,6.38
2011-01-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,13,120.3
2011-02-01,03V,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.87
2011-02-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,18,17.33
2011-02-01,03V,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,23.46
2011-02-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,55.65
2011-03-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,11,10.03
2011-03-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.4
2011-03-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,6,92.14
2011-04-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,9,8.2
2011-04-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,38.27
2011-05-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,14,12.78
2011-05-01,03V,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.93
2011-05-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,29.53
2011-05-01,03V,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,258.53
2011-05-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,55.67
2011-06-01,03V,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,86.66
2011-06-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,14,12.77
2011-06-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,88.55
2011-06-01,03V,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,1098.11
2011-06-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,5,91.21
2011-07-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,21,24.96
2011-07-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,49.84
2011-08-01,03V,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,278.55
2011-08-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,48,71.28999999999998
2011-08-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,6,119.86
2011-09-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,13,15.46
2011-09-01,03V,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,59.0
2011-09-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,4,27.31
2011-10-01,03V,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,2.15
2011-10-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,9,10.7
2011-10-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.77
2011-10-01,03V,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,103.27
2011-10-01,03V,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,387.5
2011-10-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,5,96.11
2011-11-01,03V,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,192.48
2011-11-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,24,28.54
2011-11-01,03V,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,110.02
2011-11-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,98.52
2011-12-01,03V,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,15,17.85
2011-12-01,03V,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.8
2011-12-01,03V,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.8
2011-12-01,03V,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,3,48.74
