month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,04Q,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.56
2010-08-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,278.16
2010-08-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,18,68.30999999999999
2010-09-01,04Q,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-09-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.43
2010-09-01,04Q,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,3,3.64
2010-09-01,04Q,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,7.85
2010-09-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,24,39.16
2010-10-01,04Q,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-10-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.39
2010-10-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,43.709999999999994
2010-11-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,278.25
2010-11-01,04Q,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,0.91
2010-11-01,04Q,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,15.59
2010-11-01,04Q,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
2010-11-01,04Q,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,29.49
2010-11-01,04Q,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,4,903.38
2010-11-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,21,57.39
2010-12-01,04Q,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2010-12-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.77
2010-12-01,04Q,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,3,20.05
2010-12-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,27.35
2011-01-01,04Q,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,22.59
2011-01-01,04Q,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,3,329.62
2011-01-01,04Q,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,70.58
2011-01-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.49
2011-01-01,04Q,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,15.59
2011-01-01,04Q,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,14.27
2011-01-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,26,23.67
2011-02-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.71
2011-02-01,04Q,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,1.82
2011-02-01,04Q,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.82
2011-02-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,14,12.76
2011-03-01,04Q,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2011-03-01,04Q,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.71
2011-03-01,04Q,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,0.91
2011-03-01,04Q,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.82
2011-03-01,04Q,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.2
2011-03-01,04Q,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,28,112.21
