month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,05H,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,500.73
2010-08-01,05H,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,5,9.1
2010-08-01,05H,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-08-01,05H,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,6.37
2010-09-01,05H,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,4,21.35
2010-09-01,05H,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,216.39
2010-09-01,05H,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,8,7.28
2010-09-01,05H,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-09-01,05H,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,1,21.39
2010-09-01,05H,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,5,4.55
2010-10-01,05H,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,457.34
2010-10-01,05H,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,2,9.93
2010-10-01,05H,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,0.91
2010-10-01,05H,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,1,1.15
2010-10-01,05H,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-10-01,05H,Nutricia_preOp Liq,090402000BBQFA0,1,14.2
2010-10-01,05H,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,7,6.37
2010-11-01,05H,Atenolol_Inj 500mcg/ml 10ml Amp,0204000E0AAADAD,1,24.7
2010-11-01,05H,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,395.71999999999997
2010-11-01,05H,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,1.82
2010-11-01,05H,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,5,15.77
2010-11-01,05H,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
