month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,06A,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.56
2010-08-01,06A,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,293.67
2010-08-01,06A,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,12,10.92
2010-08-01,06A,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,26.41
2010-09-01,06A,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,6,642.9100000000001
2010-09-01,06A,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,12,14.600000000000001
2010-09-01,06A,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,16.21
2010-09-01,06A,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.04
2010-09-01,06A,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,12,28.23
2010-10-01,06A,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,1,15.16
2010-10-01,06A,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,451.19999999999993
2010-10-01,06A,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,1,203.86
2010-10-01,06A,Etanercept_Inj 25mg/0.5ml Pfs,1001030D0AAADAD,1,328.93
2010-10-01,06A,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,10,9.13
2010-10-01,06A,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,1,115.4
2010-10-01,06A,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.62
2010-10-01,06A,Nutricia_preOp Liq,090402000BBQFA0,1,28.37
2010-10-01,06A,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,34.64
2010-11-01,06A,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,649.26
2010-11-01,06A,Efavirenz_Tab 600mg,0503010D0AAADAD,1,172.09
