month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,2,254.41
2010-08-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.73
2010-08-01,08J,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-08-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
2010-09-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,1,127.2
2010-09-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,278.2
2010-09-01,08J,Interf B 1b_Inj 300mcg Vl + Dil,0802040M0AAADAD,1,1098.1
2010-09-01,08J,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-09-01,08J,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,44.24
2010-09-01,08J,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.04
2010-10-01,08J,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,8.23
2010-10-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.42
2010-10-01,08J,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2010-10-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,29.5
2010-10-01,08J,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,58.94
2010-11-01,08J,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,264.57
2010-11-01,08J,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,8.98
2010-11-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.52
2010-11-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.4
2010-12-01,08J,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,1,1.05
2010-12-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,1,127.3
2010-12-01,08J,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,1,161.92
2010-12-01,08J,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,1,23.99
2010-12-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.8
2010-12-01,08J,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,2.56
2010-12-01,08J,Interf B 1b_Inj 300mcg Vl + Dil,0802040M0AAADAD,1,1098.92
2010-12-01,08J,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,9.06
2011-01-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,22.16
2011-02-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,185.74
2011-02-01,08J,Interf B 1b_Inj 300mcg Vl + Dil,0802040M0AAADAD,1,1099.74
2011-03-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.87
2011-03-01,08J,Fluclox Sod_Inj 250mg Vl,0501012G0AAACAC,1,0.87
2011-04-01,08J,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,1,1.04
2011-04-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,1,127.25
2011-04-01,08J,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,8.98
2011-04-01,08J,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,1,47.94
2011-04-01,08J,Interf B 1b_Inj 300mcg Vl + Dil,0802040M0AAADAD,1,1098.51
2011-04-01,08J,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.81
2011-04-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.76
2011-04-01,08J,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.09
2011-05-01,08J,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,1,1.05
2011-05-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,1,127.44
2011-05-01,08J,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,1,326.94
2011-05-01,08J,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,2,14.4
2011-05-01,08J,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,2,134.4
2011-05-01,08J,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,154.88
2011-05-01,08J,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,2.57
2011-05-01,08J,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,29.56
2011-05-01,08J,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,129.28
2011-06-01,08J,Botox_Inj 100u Vl,0409030B0BCAAAE,2,254.73
2011-06-01,08J,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,8.99
2011-06-01,08J,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,1,47.98
