month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,10E,Bupivac HCl_Inj 0.5% 50mg/10ml Amp,1502010C0AAADAD,3,3.37
2010-08-01,10E,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,278.16
2010-08-01,10E,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,1,582.51
2010-08-01,10E,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,5,5.56
2010-08-01,10E,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,7.39
2010-08-01,10E,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,58.92
2010-08-01,10E,Pegvisomant_Inj 20mg Vl + Dil,0605010Z0AAACAC,1,2760.63
2010-08-01,10E,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,8,24.59
2010-09-01,10E,Bupivac HCl_Inj 0.5% 50mg/10ml Amp,1502010C0AAADAD,2,2.23
2010-09-01,10E,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-09-01,10E,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,278.16
2010-09-01,10E,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,1.82
2010-09-01,10E,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,18,20.04
2010-09-01,10E,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,162.04
2010-09-01,10E,Pegvisomant_Inj 20mg Vl + Dil,0605010Z0AAACAC,1,2760.65
2010-09-01,10E,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,5,4.55
2010-10-01,10E,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,1,11.53
2010-10-01,10E,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.71
2010-10-01,10E,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,9,10.02
2010-10-01,10E,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,13.59
2010-10-01,10E,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,66.36
2010-10-01,10E,Pegvisomant_Inj 20mg Vl + Dil,0605010Z0AAACAC,1,2760.08
2010-10-01,10E,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,11,113.85
2010-11-01,10E,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,278.25
2010-11-01,10E,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,2,1.82
2010-11-01,10E,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,66.37
2010-11-01,10E,Pegvisomant_Inj 20mg Vl + Dil,0605010Z0AAACAC,1,2761.46
2010-11-01,10E,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,10,9.11
2010-11-01,10E,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,1,8.01
2010-12-01,10E,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,1,10.63
2010-12-01,10E,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,92.8
2010-12-01,10E,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,8,8.91
2010-12-01,10E,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,1,115.51
2010-12-01,10E,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,14.77
2010-12-01,10E,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.77
2010-12-01,10E,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,1,131.69
2010-12-01,10E,Pegvisomant_Inj 20mg Vl + Dil,0605010Z0AAACAC,1,2762.72
2010-12-01,10E,Posaconazole_Oral Susp 200mg/5ml,0502010A0AAAAAA,1,452.37
