month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,11N,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,8.85
2010-08-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,3,123.61
2010-08-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,3,7.8
2010-08-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,2,247.26
2010-08-01,11N,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,38.02
2010-08-01,11N,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,3,14.89
2010-08-01,11N,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,1,79.12
2010-08-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,7,28.85
2010-08-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,7,287.2600000000001
2010-08-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,3,88.41
2010-08-01,11N,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,129.05
2010-08-01,11N,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,2,426.48
2010-09-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,3,419.95
2010-09-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,2,176.56
2010-09-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-09-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,355.47
2010-09-01,11N,Etanercept_Inj 50mg/1ml Pfs,1001030D0AAACAC,1,657.97
2010-09-01,11N,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,1,9.05
2010-09-01,11N,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,76.0
2010-09-01,11N,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,1,1.04
2010-09-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,3,15.62
2010-09-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,66.32000000000001
2010-09-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,4,162.06
2010-09-01,11N,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,129.08
2010-09-01,11N,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,2,374.95
2010-09-01,11N,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,2,45.29
2010-10-01,11N,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,1,45.22
2010-10-01,11N,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,1,78.09
2010-10-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-10-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,803.3799999999999
2010-10-01,11N,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,1,116.5
2010-10-01,11N,Etanercept_Inj 50mg/1ml Pfs,1001030D0AAACAC,1,657.84
2010-10-01,11N,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,2,442.88
2010-10-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,8,45.67
2010-10-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,5,72.25
2010-10-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,58.88
2010-10-01,11N,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,25.8
2010-10-01,11N,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,4,90.57
2010-10-01,11N,Zoledronic Acid_I/V Inf 800mcg/ml 5ml Vl,0606020V0AAABAB,1,168.64
2010-11-01,11N,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,37.06
2010-11-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,3,457.05
2010-11-01,11N,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,123.49
2010-11-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,1,53.0
2010-11-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,3,12.56
2010-11-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,7,828.5899999999998
2010-11-01,11N,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,38.03
2010-11-01,11N,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,2,458.92
2010-11-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.62
2010-11-01,11N,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,1,22.65
2010-12-01,11N,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,1,467.35
2010-12-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,1,115.42
2010-12-01,11N,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,1,609.55
2010-12-01,11N,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,26.5
2010-12-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,1,35.36
2010-12-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,11,1175.41
2010-12-01,11N,Etanercept_Inj 50mg/1ml Pfs,1001030D0AAACAC,1,658.47
2010-12-01,11N,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,2,76.09
2010-12-01,11N,Ketorolac Trometamol_Inj 30mg/ml 1ml Amp,1501042E0AAAAAA,3,14.91
2010-12-01,11N,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,4,1108.23
2010-12-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,35.15
2010-12-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,36.9
2010-12-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,58.97
2011-01-01,11N,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,37.06
2011-01-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,4,918.46
2011-01-01,11N,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,1,26.49
2011-01-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,3,159.0
2011-01-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,4,16.14
2011-01-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,333.89
2011-01-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,5,39.05
2011-01-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,1,44.22
2011-01-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,4,150.25
2011-01-01,11N,Viridal Duo_S/Pack Inj 20mcg Cart,0704050B0BCAGBL,1,22.65
2011-02-01,11N,Alprostadil_S/Pack Inj 10mcg Cart,0704050B0AABMBM,1,37.1
2011-02-01,11N,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,2,995.07
2011-02-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,1,10.93
2011-02-01,11N,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,3,176.67
2011-02-01,11N,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,6,441.98999999999984
2011-02-01,11N,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.79
2011-02-01,11N,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4,427.18
2011-02-01,11N,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,1,71.05
2011-02-01,11N,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,1,206.47
2011-02-01,11N,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.93
2011-02-01,11N,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,10,107.81
2011-02-01,11N,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,4,103.35
2011-02-01,11N,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,129.2
2011-03-01,11N,Alprostadil_S/Pack Inj 20mcg Cart,0704050B0AABLBL,2,90.59
2011-03-01,11N,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,5,762.66
