month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,99C,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,364.71
2010-08-01,99C,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,2,32.35
2010-08-01,99C,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,1,0.91
2010-08-01,99C,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,4,28.6
2010-08-01,99C,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,11,586.34
2010-08-01,99C,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,1,1.82
2010-09-01,99C,Alfentanil HCl_Inj 5mg/ml 1ml Amp,1501043A0AAADAD,5,106.86
2010-09-01,99C,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,3,988.45
2010-09-01,99C,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,5,596.52
2010-09-01,99C,Ketamine_Inj 50mg/ml 10ml Vl,1501010F0AAABAB,2,32.35
2010-09-01,99C,Lido HCl/Adren (Base)_Inj 1% 20ml Vl,1502010J0AAAYAY,3,2.73
2010-09-01,99C,Marcain_Plain Inj 0.5% 10ml Polyamp,1502010C0BBAJAD,1,111.47
2010-09-01,99C,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,3.92
2010-09-01,99C,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,8,440.48
2010-09-01,99C,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,11.84
2010-09-01,99C,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,2,129.08
2010-09-01,99C,Xylocaine + Adren_Inj 1% 20ml Vl,1502010J0BBAXAY,8,18.21
2010-10-01,99C,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,5,1235.36
2010-10-01,99C,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,3,318.29
