month,pct,bnf_name,bnf_code,total_items,total_cost
2010-08-01,99D,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,1,131.82
2010-08-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,5,68.74000000000001
2010-08-01,99D,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,1,173.07
2010-08-01,99D,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,2,461.63
2010-08-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,7.78
2010-08-01,99D,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,137.31
2010-09-01,99D,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,1,131.82
2010-09-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,2,70.51
2010-09-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,7.78
2010-09-01,99D,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,2,22.08
2010-10-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,1.64
2010-10-01,99D,Viridal Duo_S/Pack Inj 40mcg Cart,0704050B0BCAIBN,1,137.28
2010-11-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,71.58
2010-11-01,99D,Metoprolol Tart_Inj 1mg/ml 5ml Amp,0204000K0AAAAAA,1,230.89
2010-11-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,15.62
2010-11-01,99D,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,4,36.89
2010-11-01,99D,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,2,11.84
2010-11-01,99D,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,3,387.24
2010-12-01,99D,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,1,131.92
2010-12-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,2,73.4
2010-12-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,1.56
2010-12-01,99D,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,66.34
2010-12-01,99D,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,29.5
2010-12-01,99D,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,1,64.55
2011-01-01,99D,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,1,131.87
2011-01-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,3,144.95
2011-01-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,1,0.78
2011-01-01,99D,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,7,85.46000000000002
2011-01-01,99D,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,4,117.83
2011-01-01,99D,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,3,258.1
2011-02-01,99D,B.C.G._Blad Instillation 12.5mg Vl,0802040X0AAAAAA,3,396.03
2011-02-01,99D,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,1,71.66
2011-02-01,99D,Midazolam HCl_Inj 2mg/ml 5ml Amp,1501041T0AAABAB,2,7.8
2011-02-01,99D,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,3,13.27
2011-02-01,99D,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,1,14.75
